iso_year_week,count,click_rate,book_rate
2012-W44,63317,0.04556438239335408,0.02804933904006823
2012-W45,119950,0.044910379324718634,0.028128386827844937
2012-W46,119533,0.0452260045343127,0.028352003212501985
2012-W47,107487,0.044414673402364935,0.028422041735279614
2012-W48,111208,0.04388173512696928,0.02788468455506798
2012-W49,114056,0.04345233920179561,0.028284351546608685
2012-W50,108418,0.043765795347636,0.02760611706543194
2012-W51,108161,0.04450772459574153,0.02836512236388347
2012-W52,110104,0.04512097653127952,0.027028990772360678
2013-W01,120715,0.044128732966077125,0.025961976556351737
2013-W02,138897,0.04387423774451572,0.02586808930358467
2013-W03,144236,0.04351202196400344,0.02631797886796639
2013-W04,135440,0.04379060838747785,0.026594802126402837
2013-W05,129649,0.043864588234386694,0.028839404854646006
2013-W06,147811,0.043589448687851376,0.0287326383016149
2013-W07,151831,0.04473394761280634,0.027207882448248382
2013-W08,150628,0.044659691425233024,0.026655070770374698
2013-W09,159004,0.044590073205705516,0.02733264571960454
2013-W10,166382,0.044806529552475625,0.02756908800230794
2013-W11,162647,0.045097665496443215,0.02784557969098723
2013-W12,160832,0.04449985077596498,0.027873806207719856
2013-W13,147997,0.04455495719507828,0.02764920910558998
2013-W14,154325,0.044542361898590635,0.02797343269075004
2013-W15,148213,0.04532665825534872,0.027851807871104424
2013-W16,147656,0.04558568564772173,0.027936555236495637
2013-W17,143836,0.04471759503879418,0.027837259100642397
2013-W18,146836,0.04547931025089215,0.02884851126426762
2013-W19,155132,0.045071294123713995,0.028304927416651627
2013-W20,161080,0.04631239135833126,0.029190464365532656
2013-W21,161501,0.04589445266592777,0.02878000755413279
2013-W22,163799,0.04542152271991892,0.028034359184122004
2013-W23,168932,0.04561006795633746,0.02931948949873322
2013-W24,170043,0.04534735331651406,0.028916215310245057
2013-W25,183610,0.04486683731822885,0.02771635531833778
2013-W26,175081,0.0443509004403676,0.028763829313289278
