position,count,click_rate,book_rate
1,199415,0.19250808615199458,0.1409873881102224
2,199350,0.13422623526460997,0.09427138199147228
3,199355,0.1052845426500464,0.07082842165985302
4,193406,0.08820305471391787,0.05785756388116191
5,9312,0.022551546391752577,0.011597938144329897
6,199172,0.07140561926375193,0.045172012130219104
7,194769,0.060528112790023056,0.03788590586797694
8,190375,0.05292186474064347,0.03236769533814839
9,186236,0.04622629352004983,0.027475890805214887
10,173451,0.043510847443946704,0.025540354336383186
11,11277,0.009399663030947946,0.0037243947858473
12,178279,0.03723377402834883,0.021528054341790115
13,174815,0.03425335354517633,0.019025827303149043
14,171160,0.030567889693853705,0.016867258705304977
15,167552,0.02944757448433919,0.016233766233766232
16,154699,0.028054479990174467,0.014971008215954854
17,11353,0.004492204703602572,0.0014093191226988461
18,160544,0.02502117799481762,0.013167729718955551
19,157174,0.02291727639431458,0.011967628233677325
20,153861,0.021746901424012584,0.01090594757605891
21,150530,0.020128877964525345,0.010011293429881087
22,138058,0.01986121774906199,0.00948152225876081
23,10835,0.004153207198892478,0.0011998154130133825
24,143693,0.017968864175707932,0.008893961431663338
25,140267,0.01678940877041642,0.008255683803032788
26,136850,0.01649251004749726,0.007679941541834125
27,133549,0.015469977311698328,0.007502864117290283
28,130260,0.014570858283433134,0.006786427145708583
29,126879,0.013910891479283411,0.006478613482136524
30,123017,0.013819228236747767,0.006210523748750173
31,118672,0.013153903195362006,0.006016583524335985
32,111617,0.01230995278497003,0.005384484442334053
33,105601,0.012016931657844149,0.005189344797871232
34,99121,0.011743222929550752,0.005195669938761715
35,87619,0.011504354078453304,0.004907611362832263
36,67011,0.010013281401560938,0.004760412469594544
37,36866,0.010063473118862909,0.004774046546953833
38,10704,0.009622571001494768,0.005698804185351271
39,1577,0.010145846544071021,0.0050729232720355105
40,66,0.015151515151515152,0.015151515151515152
